Metric Category,Metric Name,Value
Broker,CPU Min (%),2.25386
Broker,CPU Max (%),16.93122
Broker,CPU Avg (%),7.24054
Broker,CPU Variance,19.74711
Broker,Memory Min (MB),84.58089
Broker,Memory Max (MB),84.59361
Broker,Memory Avg (MB),84.58814
Broker,Memory Variance,0.00001
Messaging,Latency Min (ms),-14.57047
Messaging,Latency Max (ms),156.10814
Messaging,Latency Avg (ms),16.62163
Messaging,Latency Variance,201.91247
Messaging,Throughput (msgs/sec),105.78286
Messaging,Avg Header Size (bytes),27.92075
Messaging,Data Messages,18611
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,18611
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,18611
Purpose Correctness,Total Received,18611
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
