Metric Category,Metric Name,Value
Broker,CPU Min (%),12.78027
Broker,CPU Max (%),17.14286
Broker,CPU Avg (%),14.37903
Broker,CPU Variance,0.39288
Broker,Memory Min (MB),46.21495
Broker,Memory Max (MB),46.54160
Broker,Memory Avg (MB),46.35861
Broker,Memory Variance,0.00473
Messaging,Latency Min (ms),-17.47799
Messaging,Latency Max (ms),143.60714
Messaging,Latency Avg (ms),15.84580
Messaging,Latency Variance,214.64854
Messaging,Throughput (msgs/sec),258.92480
Messaging,Avg Header Size (bytes),27.76842
Messaging,Data Messages,46494
Messaging,Non-Data Messages,247
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,46494
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,46494
Purpose Correctness,Total Received,46494
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,111
OP Correctness,Total Actual Responses,111
OP Correctness,Total Relevant Requests Recieved,128
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,0.9412
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
