Metric Category,Metric Name,Value
Broker,CPU Min (%),2.05950
Broker,CPU Max (%),16.88819
Broker,CPU Avg (%),6.69097
Broker,CPU Variance,17.24479
Broker,Memory Min (MB),39.57397
Broker,Memory Max (MB),39.61341
Broker,Memory Avg (MB),39.59603
Broker,Memory Variance,0.00010
Messaging,Latency Min (ms),-8.05664
Messaging,Latency Max (ms),216.58039
Messaging,Latency Avg (ms),21.95902
Messaging,Latency Variance,396.71186
Messaging,Throughput (msgs/sec),105.61440
Messaging,Avg Header Size (bytes),27.10062
Messaging,Data Messages,18436
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,18436
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,18436
Purpose Correctness,Total Received,18436
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
