Metric Category,Metric Name,Value
Broker,CPU Min (%),10.98901
Broker,CPU Max (%),16.56943
Broker,CPU Avg (%),13.42639
Broker,CPU Variance,1.81767
Broker,Memory Min (MB),48.01242
Broker,Memory Max (MB),48.57151
Broker,Memory Avg (MB),48.21490
Broker,Memory Variance,0.01813
Messaging,Latency Min (ms),-25.33078
Messaging,Latency Max (ms),270.86425
Messaging,Latency Avg (ms),22.26290
Messaging,Latency Variance,851.31457
Messaging,Throughput (msgs/sec),280.65182
Messaging,Avg Header Size (bytes),27.76971
Messaging,Data Messages,50369
Messaging,Non-Data Messages,685
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,50366
Purpose Correctness,Total Invalid Messages,3
Purpose Correctness,Total Expected,50371
Purpose Correctness,Total Received,50369
Purpose Correctness,Total Rejected,5
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,549
OP Correctness,Total Actual Responses,549
OP Correctness,Total Relevant Requests Recieved,660
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,0.8082
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
