Metric Category,Metric Name,Value
Broker,CPU Min (%),12.41135
Broker,CPU Max (%),16.40798
Broker,CPU Avg (%),13.77533
Broker,CPU Variance,0.43941
Broker,Memory Min (MB),39.25880
Broker,Memory Max (MB),39.54388
Broker,Memory Avg (MB),39.38029
Broker,Memory Variance,0.00364
Messaging,Latency Min (ms),-13.81421
Messaging,Latency Max (ms),157.20773
Messaging,Latency Avg (ms),18.51289
Messaging,Latency Variance,249.67899
Messaging,Throughput (msgs/sec),278.41486
Messaging,Avg Header Size (bytes),27.17282
Messaging,Data Messages,50028
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,50028
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,50028
Purpose Correctness,Total Received,50028
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
