Metric Category,Metric Name,Value
Broker,CPU Min (%),11.71694
Broker,CPU Max (%),21.54567
Broker,CPU Avg (%),13.14189
Broker,CPU Variance,0.79449
Broker,Memory Min (MB),39.99014
Broker,Memory Max (MB),40.25363
Broker,Memory Avg (MB),40.10775
Broker,Memory Variance,0.00289
Messaging,Latency Min (ms),-1.58978
Messaging,Latency Max (ms),187.74629
Messaging,Latency Avg (ms),34.83093
Messaging,Latency Variance,620.30033
Messaging,Throughput (msgs/sec),307.65814
Messaging,Avg Header Size (bytes),27.00000
Messaging,Data Messages,55326
Messaging,Non-Data Messages,248
Purpose Correctness,Total Subscribers,1
Purpose Correctness,Total Valid Messages,55326
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,55326
Purpose Correctness,Total Received,55326
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,112
OP Correctness,Total Actual Responses,112
OP Correctness,Total Relevant Requests Recieved,129
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,0.9485
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
