Metric Category,Metric Name,Value
Broker,CPU Min (%),13.80510
Broker,CPU Max (%),23.44111
Broker,CPU Avg (%),16.95462
Broker,CPU Variance,4.26898
Broker,Memory Min (MB),43.58936
Broker,Memory Max (MB),91.58260
Broker,Memory Avg (MB),62.07510
Broker,Memory Variance,266.71377
Messaging,Latency Min (ms),-19.13834
Messaging,Latency Max (ms),68141.32786
Messaging,Latency Avg (ms),24856.42282
Messaging,Latency Variance,570647539.63251
Messaging,Throughput (msgs/sec),421.06087
Messaging,Avg Header Size (bytes),27.64120
Messaging,Data Messages,76662
Messaging,Non-Data Messages,12201
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,31084
Purpose Correctness,Total Invalid Messages,45578
Purpose Correctness,Total Expected,63694
Purpose Correctness,Total Received,76662
Purpose Correctness,Total Rejected,29007
Purpose Correctness,Avg False Accept Rate,0.1850
Purpose Correctness,Avg False Reject Rate,0.1515
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,12065
OP Correctness,Total Actual Responses,12065
OP Correctness,Total Relevant Requests Recieved,609
OP Correctness,Total Irrelevant Requests Recieved,11456
OP Correctness,Avg Coverage,0.8099
OP Correctness,Avg Leakage,0.9209
OP Correctness,Avg Completion,1.0000
