Metric Category,Metric Name,Value
Broker,CPU Min (%),12.89593
Broker,CPU Max (%),16.30769
Broker,CPU Avg (%),13.99911
Broker,CPU Variance,0.29717
Broker,Memory Min (MB),63.46162
Broker,Memory Max (MB),63.68795
Broker,Memory Avg (MB),63.55756
Broker,Memory Variance,0.00189
Messaging,Latency Min (ms),-5.88179
Messaging,Latency Max (ms),156.31604
Messaging,Latency Avg (ms),19.40530
Messaging,Latency Variance,258.97549
Messaging,Throughput (msgs/sec),280.81856
Messaging,Avg Header Size (bytes),27.04857
Messaging,Data Messages,50520
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,50520
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,50520
Purpose Correctness,Total Received,50520
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
