Metric Category,Metric Name,Value
Broker,CPU Min (%),13.20961
Broker,CPU Max (%),18.83260
Broker,CPU Avg (%),14.54212
Broker,CPU Variance,0.53949
Broker,Memory Min (MB),62.31590
Broker,Memory Max (MB),62.56370
Broker,Memory Avg (MB),62.45196
Broker,Memory Variance,0.00257
Messaging,Latency Min (ms),-11.68704
Messaging,Latency Max (ms),136.78932
Messaging,Latency Avg (ms),16.27072
Messaging,Latency Variance,233.84792
Messaging,Throughput (msgs/sec),265.07259
Messaging,Avg Header Size (bytes),27.66084
Messaging,Data Messages,47574
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,47574
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,47574
Purpose Correctness,Total Received,47574
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
