Metric Category,Metric Name,Value
Broker,CPU Min (%),13.62049
Broker,CPU Max (%),24.29696
Broker,CPU Avg (%),17.16391
Broker,CPU Variance,4.23974
Broker,Memory Min (MB),43.92124
Broker,Memory Max (MB),97.86445
Broker,Memory Avg (MB),71.54553
Broker,Memory Variance,510.79937
Messaging,Latency Min (ms),-20.75076
Messaging,Latency Max (ms),77452.10671
Messaging,Latency Avg (ms),21023.72661
Messaging,Latency Variance,745524113.10378
Messaging,Throughput (msgs/sec),435.48187
Messaging,Avg Header Size (bytes),27.76984
Messaging,Data Messages,78357
Messaging,Non-Data Messages,11948
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,27926
Purpose Correctness,Total Invalid Messages,50431
Purpose Correctness,Total Expected,48591
Purpose Correctness,Total Received,78357
Purpose Correctness,Total Rejected,18536
Purpose Correctness,Avg False Accept Rate,0.2093
Purpose Correctness,Avg False Reject Rate,0.1521
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,11812
OP Correctness,Total Actual Responses,11812
OP Correctness,Total Relevant Requests Recieved,428
OP Correctness,Total Irrelevant Requests Recieved,11384
OP Correctness,Avg Coverage,0.8024
OP Correctness,Avg Leakage,0.8893
OP Correctness,Avg Completion,1.0000
