Metric Category,Metric Name,Value
Broker,CPU Min (%),0.00000
Broker,CPU Max (%),0.00000
Broker,CPU Avg (%),0.00000
Broker,CPU Variance,0.00000
Broker,Memory Min (MB),0.00000
Broker,Memory Max (MB),0.00000
Broker,Memory Avg (MB),0.00000
Broker,Memory Variance,0.00000
Messaging,Latency Min (ms),-9.70340
Messaging,Latency Max (ms),1008.95691
Messaging,Latency Avg (ms),179.83610
Messaging,Latency Variance,35160.04186
Messaging,Throughput (msgs/sec),291.34560
Messaging,Avg Header Size (bytes),27.10098
Messaging,Data Messages,51433
Messaging,Non-Data Messages,1496
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,18918
Purpose Correctness,Total Invalid Messages,32515
Purpose Correctness,Total Expected,19016
Purpose Correctness,Total Received,51433
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.2507
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,1360
OP Correctness,Total Actual Responses,1360
OP Correctness,Total Relevant Requests Recieved,707
OP Correctness,Total Irrelevant Requests Recieved,653
OP Correctness,Avg Coverage,1.0000
OP Correctness,Avg Leakage,0.7500
OP Correctness,Avg Completion,1.0000
