Metric Category,Metric Name,Value
Broker,CPU Min (%),2.20418
Broker,CPU Max (%),17.03488
Broker,CPU Avg (%),8.13426
Broker,CPU Variance,19.91172
Broker,Memory Min (MB),45.82854
Broker,Memory Max (MB),45.86961
Broker,Memory Avg (MB),45.85600
Broker,Memory Variance,0.00008
Messaging,Latency Min (ms),-14.05358
Messaging,Latency Max (ms),733.28638
Messaging,Latency Avg (ms),113.26561
Messaging,Latency Variance,17244.72123
Messaging,Throughput (msgs/sec),291.42450
Messaging,Avg Header Size (bytes),27.10504
Messaging,Data Messages,51423
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,18082
Purpose Correctness,Total Invalid Messages,33341
Purpose Correctness,Total Expected,18082
Purpose Correctness,Total Received,51423
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.2580
Purpose Correctness,Avg False Reject Rate,0.0000
