Metric Category,Metric Name,Value
Broker,CPU Min (%),2.54335
Broker,CPU Max (%),17.41123
Broker,CPU Avg (%),7.10194
Broker,CPU Variance,14.79713
Broker,Memory Min (MB),51.39652
Broker,Memory Max (MB),52.11609
Broker,Memory Avg (MB),51.75417
Broker,Memory Variance,0.04784
Messaging,Latency Min (ms),-19.78540
Messaging,Latency Max (ms),442.53683
Messaging,Latency Avg (ms),34.52393
Messaging,Latency Variance,2623.35725
Messaging,Throughput (msgs/sec),116.71920
Messaging,Avg Header Size (bytes),27.83015
Messaging,Data Messages,20351
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,20351
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,20351
Purpose Correctness,Total Received,20351
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
