Metric Category,Metric Name,Value
Broker,CPU Min (%),12.51314
Broker,CPU Max (%),20.46512
Broker,CPU Avg (%),14.44327
Broker,CPU Variance,0.89464
Broker,Memory Min (MB),41.66817
Broker,Memory Max (MB),43.66019
Broker,Memory Avg (MB),42.68529
Broker,Memory Variance,0.31885
Messaging,Latency Min (ms),-9.99117
Messaging,Latency Max (ms),146.00372
Messaging,Latency Avg (ms),14.30859
Messaging,Latency Variance,174.97872
Messaging,Throughput (msgs/sec),268.07411
Messaging,Avg Header Size (bytes),27.76722
Messaging,Data Messages,48144
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,48144
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,48144
Purpose Correctness,Total Received,48144
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
