Metric Category,Metric Name,Value
Broker,CPU Min (%),1.90703
Broker,CPU Max (%),18.72964
Broker,CPU Avg (%),6.69312
Broker,CPU Variance,14.74056
Broker,Memory Min (MB),51.21873
Broker,Memory Max (MB),51.34191
Broker,Memory Avg (MB),51.29174
Broker,Memory Variance,0.00084
Messaging,Latency Min (ms),-8.45242
Messaging,Latency Max (ms),129.63533
Messaging,Latency Avg (ms),16.00213
Messaging,Latency Variance,204.54834
Messaging,Throughput (msgs/sec),106.48558
Messaging,Avg Header Size (bytes),27.10488
Messaging,Data Messages,18682
Messaging,Non-Data Messages,445
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,18682
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,18682
Purpose Correctness,Total Received,18682
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,309
OP Correctness,Total Actual Responses,309
OP Correctness,Total Relevant Requests Recieved,355
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,0.7494
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
